time	well	position	DATE	TECAN	sample	REP	conc_ara	tmp	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	OD
11.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092175
12	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0921
12.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092175
12.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092175
12.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09225
13	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092275
13.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092375
13.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0924
13.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092425
14	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092275
14.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092375
14.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0925
14.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092375
15	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09245
15.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092625
15.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0924
15.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09255
16	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092425
16.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09245
0	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.092075
0.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09225
0.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.0928
0.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.094025
1	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.095275
1.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.096625
1.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.0984
1.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.10008
2	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.10167
2.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.10283
2.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.10368
2.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.10463
3	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.1045
3.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.1013
3.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.096475
3.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.093075
4	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091675
4.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091
4.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09055
4.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.0903
5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090325
5.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09045
5.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09025
5.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090325
6	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090275
6.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090275
6.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090175
6.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090275
7	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090375
7.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090325
7.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.0904
7.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090375
8	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09045
8.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090475
8.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09055
8.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090425
9	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090475
9.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.0905
9.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090625
9.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.0908
10	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090725
10.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090675
10.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09055
10.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.0907
11	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090725
11.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.090925
11.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091075
11.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091075
12	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091
12.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091025
12.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091
12.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091075
13	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09115
13.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09125
13.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09125
13.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.0912
14	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091125
14.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09115
14.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091225
14.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.09135
15	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.0914
15.25	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091325
15.5	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091325
15.75	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091375
16	Well 105	A5	12072022	40	WT (Amp plasmid)	2	0% arabinose	10	9e-04	0.00661442	0.042272266	-3.459935371	16.39720891	0.050597498	0.039156875	0.003446071	questionable fit (k < n0)	0.091375
