name	tss_name	mean_diff	mean_scramble	mean_unscrambled	tstat	p.value	conf.low	conf.high	p.value.fdr	site_type_ttest	significant
neg_control_1288846:1288996_scrambled90-100	neg_control_1288846:1288996_scrambled90-100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled95-105	neg_control_1288846:1288996_scrambled95-105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled0-10	neg_control_2104896:2105046_scrambled0-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled10-20	neg_control_2104896:2105046_scrambled10-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled100-110	neg_control_2104896:2105046_scrambled100-110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled105-115	neg_control_2104896:2105046_scrambled105-115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled110-120	neg_control_2104896:2105046_scrambled110-120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled120-130	neg_control_2104896:2105046_scrambled120-130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled125-135	neg_control_2104896:2105046_scrambled125-135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled130-140	neg_control_2104896:2105046_scrambled130-140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled135-145	neg_control_2104896:2105046_scrambled135-145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled140-150	neg_control_2104896:2105046_scrambled140-150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled15-25	neg_control_2104896:2105046_scrambled15-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled20-30	neg_control_2104896:2105046_scrambled20-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled25-35	neg_control_2104896:2105046_scrambled25-35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled30-40	neg_control_2104896:2105046_scrambled30-40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled35-45	neg_control_2104896:2105046_scrambled35-45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled40-50	neg_control_2104896:2105046_scrambled40-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled45-55	neg_control_2104896:2105046_scrambled45-55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled5-15	neg_control_2104896:2105046_scrambled5-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled50-60	neg_control_2104896:2105046_scrambled50-60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled55-65	neg_control_2104896:2105046_scrambled55-65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled60-70	neg_control_2104896:2105046_scrambled60-70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled65-75	neg_control_2104896:2105046_scrambled65-75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled70-80	neg_control_2104896:2105046_scrambled70-80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled75-85	neg_control_2104896:2105046_scrambled75-85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled80-90	neg_control_2104896:2105046_scrambled80-90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled85-95	neg_control_2104896:2105046_scrambled85-95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled90-100	neg_control_2104896:2105046_scrambled90-100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_2104896:2105046_scrambled95-105	neg_control_2104896:2105046_scrambled95-105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled10-20	neg_control_949381:949531_scrambled10-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled100-110	neg_control_949381:949531_scrambled100-110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled105-115	neg_control_949381:949531_scrambled105-115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled110-120	neg_control_949381:949531_scrambled110-120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled115-125	neg_control_949381:949531_scrambled115-125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled130-140	neg_control_949381:949531_scrambled130-140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled135-145	neg_control_949381:949531_scrambled135-145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled140-150	neg_control_949381:949531_scrambled140-150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled15-25_flipped	neg_control_949381:949531_scrambled15-25_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled25-35	neg_control_949381:949531_scrambled25-35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled30-40	neg_control_949381:949531_scrambled30-40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled35-45	neg_control_949381:949531_scrambled35-45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled40-50_flipped	neg_control_949381:949531_scrambled40-50_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled45-55	neg_control_949381:949531_scrambled45-55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled50-60	neg_control_949381:949531_scrambled50-60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled55-65_flipped	neg_control_949381:949531_scrambled55-65_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled60-70_flipped	neg_control_949381:949531_scrambled60-70_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled65-75_flipped	neg_control_949381:949531_scrambled65-75_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled70-80_flipped	neg_control_949381:949531_scrambled70-80_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled75-85	neg_control_949381:949531_scrambled75-85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled80-90	neg_control_949381:949531_scrambled80-90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled90-100	neg_control_949381:949531_scrambled90-100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_949381:949531_scrambled95-105	neg_control_949381:949531_scrambled95-105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled0-10_flipped	TSS_10021_storz_wanner_regulondb	0.130438220597552	0.781219709094539	0.650781488496987	0.484022676598552	0.630085246522218	-0.408324119411801	0.669200560606905	0.807643682992966	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled10-20_flipped	TSS_10021_storz_wanner_regulondb	0.443143054414521	1.09392454291151	0.650781488496987	1.7258383676351	0.0892134176434944	-0.0698371149640882	0.956123223793129	0.246287670133289	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled100-110_flipped	TSS_10021_storz_wanner_regulondb	-0.437553481414217	0.21322800708277	0.650781488496987	-2.30176873262079	0.0285382895618642	-0.82593134495871	-0.0491756178697227	0.108314270228857	reduced	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled105-115_flipped	TSS_10021_storz_wanner_regulondb	-0.507481427143043	0.143300061353944	0.650781488496987	-2.68773735236971	0.0118012011102675	-0.893684544982507	-0.121278309303578	0.0544715197903526	reduced	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled115-125_flipped	TSS_10021_storz_wanner_regulondb	-0.0225556171658293	0.628225871331157	0.650781488496987	-0.109706043240879	0.913199841332647	-0.438297672852175	0.393186438520517	0.961766932345386	reduced	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled120-130_flipped	TSS_10021_storz_wanner_regulondb	0.454220156580897	1.10500164507788	0.650781488496987	1.97904643576029	0.0528069972611543	-0.00569867449343799	0.914138987655231	0.170813178533682	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled125-135_flipped	TSS_10021_storz_wanner_regulondb	0.310490582296664	0.961272070793651	0.650781488496987	1.43791122542377	0.157627334815795	-0.12485429696238	0.745835461555708	0.360944195404457	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled130-140_flipped	TSS_10021_storz_wanner_regulondb	0.525043493345917	1.1758249818429	0.650781488496987	2.24897881472141	0.0298201309806642	0.053896749146134	0.996190237545701	0.112095579552286	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled135-145_flipped	TSS_10021_storz_wanner_regulondb	0.227249873019059	0.878031361516045	0.650781488496987	0.93450344347696	0.354924685772943	-0.262241758618525	0.716741504656642	0.590496448033864	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled140-150_flipped	TSS_10021_storz_wanner_regulondb	0.404438007301792	1.05521949579878	0.650781488496987	1.29291534724167	0.201189707611159	-0.221780670381641	1.03065668498523	0.42142896868945	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled15-25_flipped	TSS_10021_storz_wanner_regulondb	0.0515379837494352	0.702319472246422	0.650781488496987	0.251283970447365	0.803011241644104	-0.364297579135821	0.467373546634691	0.908032921365289	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled20-30_flipped	TSS_10021_storz_wanner_regulondb	0.18810627578702	0.838887764284007	0.650781488496987	0.863153083706154	0.392430232546287	-0.250293715280798	0.626506266854839	0.625561563969146	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled25-35_flipped	TSS_10021_storz_wanner_regulondb	0.22771564679009	0.878497135287076	0.650781488496987	1.06862487792304	0.290955910556268	-0.201511906661271	0.656943200241451	0.525943449801145	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled30-40_flipped	TSS_10021_storz_wanner_regulondb	-0.20134402908316	0.449437459413826	0.650781488496987	-0.954556250460341	0.345240513632757	-0.626961996311862	0.224273938145541	0.581124706692426	reduced	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled35-45_flipped	TSS_10021_storz_wanner_regulondb	-0.260463085885001	0.390318402611986	0.650781488496987	-1.25676863667622	0.216290512325452	-0.679622097097084	0.158695925327083	0.440754348604051	reduced	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled40-50_flipped	TSS_10021_storz_wanner_regulondb	0.178448190919207	0.829229679416193	0.650781488496987	0.791608035418125	0.43245954210498	-0.274725653509845	0.631622035348259	0.660794767065712	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled45-55_flipped	TSS_10021_storz_wanner_regulondb	0.158506548952451	0.809288037449438	0.650781488496987	0.741846219651448	0.462168229933368	-0.272249614939299	0.589262712844201	0.684241759944208	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled5-15_flipped	TSS_10021_storz_wanner_regulondb	0.13039329691251	0.781174785409497	0.650781488496987	0.504577904713318	0.616944626854881	-0.393794544727541	0.654581138552561	0.798755351457027	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled50-60_flipped	TSS_10021_storz_wanner_regulondb	1.63274662111182	2.28352810960881	0.650781488496987	5.29419839959725	0.00000112241494210721	1.01850701365514	2.2469862285685	0.0000182910629675117	increased	TRUE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled55-65_flipped	TSS_10021_storz_wanner_regulondb	2.39396594287676	3.04474743137374	0.650781488496987	5.91714515119213	0.000000186282200675905	1.58411876615959	3.20381311959393	0.00000368737219870418	increased	TRUE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled60-70_flipped	TSS_10021_storz_wanner_regulondb	1.77873696863437	2.42951845713136	0.650781488496987	3.87912970206382	0.000329358559868201	0.855942341774896	2.70153159549384	0.00270464734934384	increased	TRUE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled65-75_flipped	TSS_10021_storz_wanner_regulondb	1.61310828720248	2.26388977569947	0.650781488496987	4.25065050429672	0.0000735392078161387	0.854398846194306	2.37181772821066	0.000735547881567777	increased	TRUE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled70-80_flipped	TSS_10021_storz_wanner_regulondb	0.697964834576868	1.34874632307385	0.650781488496987	2.46526363715005	0.0172402281898098	0.129021733677298	1.26690793547644	0.073431177629098	increased	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled75-85_flipped	TSS_10021_storz_wanner_regulondb	-0.369409342201828	0.281372146295159	0.650781488496987	-1.87774130312999	0.0690339422213281	-0.769243933740916	0.0304252493372603	0.206376165923816	reduced	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled80-90_flipped	TSS_10021_storz_wanner_regulondb	-0.439440020846912	0.211341467650075	0.650781488496987	-2.23136613245747	0.0323612290712642	-0.839674353687941	-0.0392056880058824	0.119357314410499	reduced	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled85-95_flipped	TSS_10021_storz_wanner_regulondb	-0.196037659791325	0.454743828705661	0.650781488496987	-0.928048192552411	0.359118087082021	-0.623369228088137	0.231293908505486	0.594312927792695	reduced	FALSE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled90-100_flipped	TSS_10021_storz_wanner_regulondb	1.42007378141153	2.07085526990851	0.650781488496987	4.30989261837868	0.0000848421391760445	0.756901456381605	2.08324610644145	0.000833416019663142	increased	TRUE
TSS_10021_storz_wanner_regulondb,2660221,-_scrambled95-105_flipped	TSS_10021_storz_wanner_regulondb	0.0124342727508998	0.663215761247886	0.650781488496987	0.0613978758634528	0.951371609785188	-0.397858986842685	0.422727532344484	0.978698852459457	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled0-10_flipped	TSS_10026_regulondb	0.0798000773248345	0.574074720408281	0.494274643083447	0.723209949809038	0.471308662249618	-0.139225024806407	0.298825179456076	0.691846707030393	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled10-20_flipped	TSS_10026_regulondb	0.204389926012033	0.69866456909548	0.494274643083447	1.12799131491031	0.265042382813898	-0.160122585449584	0.56890243747365	0.497996135184436	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled100-110_flipped	TSS_10026_regulondb	-0.122275124044659	0.371999519038788	0.494274643083447	-1.14526131163029	0.255122600554902	-0.334370686605588	0.0898204385162705	0.486698911876062	reduced	FALSE
TSS_10026_regulondb,2661327,-_scrambled105-115_flipped	TSS_10026_regulondb	-0.101496263187703	0.392778379895744	0.494274643083447	-0.928916157369789	0.355454666841236	-0.31861113532364	0.115618608948234	0.591047295772568	reduced	FALSE
TSS_10026_regulondb,2661327,-_scrambled110-120_flipped	TSS_10026_regulondb	0.0132391535678427	0.507513796651289	0.494274643083447	0.10392172370533	0.917805539769385	-0.245088087260966	0.271566394396652	0.963860567658312	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled120-130_flipped	TSS_10026_regulondb	0.171485667449126	0.665760310532572	0.494274643083447	1.06432272757806	0.291496610451559	-0.150883285521328	0.493854620419579	0.526452038407852	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled125-135_flipped	TSS_10026_regulondb	0.121166513105201	0.615441156188647	0.494274643083447	0.960406718146742	0.339169100469136	-0.129137414436872	0.371470440647273	0.575356566049153	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled135-145_flipped	TSS_10026_regulondb	0.133261833342835	0.627536476426282	0.494274643083447	0.821221508999732	0.417207445792919	-0.196443410549483	0.462967077235154	0.647459436438108	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled140-150_flipped	TSS_10026_regulondb	-0.062778187051635	0.431496456031812	0.494274643083447	-0.631591578996704	0.529293692792654	-0.260312866872487	0.134756492769217	0.737103732309445	reduced	FALSE
TSS_10026_regulondb,2661327,-_scrambled15-25_flipped	TSS_10026_regulondb	0.326218473074785	0.820493116158232	0.494274643083447	2.18802882536627	0.0321172928524662	0.0286938208236421	0.623743125325928	0.118670845704385	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled25-35_flipped	TSS_10026_regulondb	0.510958747347373	1.00523339043082	0.494274643083447	2.8426086247883	0.00586984929105157	0.152412444789424	0.869505049905322	0.0307496210641971	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled30-40_flipped	TSS_10026_regulondb	0.406588214431918	0.900862857515365	0.494274643083447	1.54950858218656	0.132782901057931	-0.131547274436177	0.944723703300013	0.321503782897986	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled35-45_flipped	TSS_10026_regulondb	0.355198255928452	0.849472899011898	0.494274643083447	2.1440432507433	0.0348963297533254	0.0257886146935458	0.684607897163358	0.126406485663661	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled40-50_flipped	TSS_10026_regulondb	-0.0463737938121627	0.447900849271284	0.494274643083447	-0.378588533215424	0.705975505469868	-0.290061565825506	0.197313978201181	0.854879326897297	reduced	FALSE
TSS_10026_regulondb,2661327,-_scrambled45-55_flipped	TSS_10026_regulondb	0.505813658234871	1.00008830131832	0.494274643083447	2.01236019924702	0.0513373877398797	-0.003089915951493	1.01471723242124	0.167378320110478	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled5-15_flipped	TSS_10026_regulondb	0.54886480706688	1.04313945015033	0.494274643083447	3.63810159014768	0.000451226342304871	0.249266289258816	0.848463324874944	0.00352922392647663	increased	TRUE
TSS_10026_regulondb,2661327,-_scrambled55-65_flipped	TSS_10026_regulondb	4.88050050879376	5.37477515187721	0.494274643083447	6.49208887039613	0.000000203111862521836	3.35249562604991	6.40850539153762	0.00000397606281357252	increased	TRUE
TSS_10026_regulondb,2661327,-_scrambled65-75_flipped	TSS_10026_regulondb	-0.308636764392623	0.185637878690824	0.494274643083447	-3.05148052744101	0.00313090425522847	-0.51006418545454	-0.107209343330706	0.0182189066793216	reduced	FALSE
TSS_10026_regulondb,2661327,-_scrambled75-85_flipped	TSS_10026_regulondb	0.147281399025478	0.641556042108925	0.494274643083447	1.08407951705364	0.28213121338562	-0.123785093881876	0.418347891932832	0.516576736888579	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled80-90_flipped	TSS_10026_regulondb	0.114008610922429	0.608283254005876	0.494274643083447	0.955729108157388	0.341588535823428	-0.122752874401189	0.350770096246047	0.577617951924589	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled85-95_flipped	TSS_10026_regulondb	0.0879367557737445	0.582211398857191	0.494274643083447	0.600478063392821	0.551474949991876	-0.207765572906092	0.383639084453581	0.752808593254582	increased	FALSE
TSS_10026_regulondb,2661327,-_scrambled90-100_flipped	TSS_10026_regulondb	0.105334226728768	0.599608869812215	0.494274643083447	0.768330605086876	0.444450905380541	-0.167304078008968	0.377972531466505	0.670796906746014	increased	FALSE
