mutation	mutation_label	position_label	state	energy_unit	score_function_name	total_score	fa_atr	fa_rep	fa_sol	fa_intra_rep	fa_intra_sol_xover4	lk_ball_wtd	fa_elec	hbond_sr_bb	hbond_lr_bb	hbond_bb_sc	hbond_sc	omega	fa_dun	p_aa_pp	yhh_planarity	ref	rama_prepro
A.A.22.D:B.A.22.D:C.A.22.D:D.A.22.D	A22D_A22D_A22D_A22D	A22_A22_A22_A22	wt	kcal/mol	ref2015	0.37553	-10.73303	6.65371	7.06562	0.0	-0.0	-0.12263	-1.71907	0.0	0.0	-0.36781	-0.40125	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D	A22D_WT_WT_WT	A22	ddg	kcal/mol	ref2015	0.00802	-0.04036	0.02604	0.04532	0.0	-0.0	9e-05	-0.01551	0.0	0.0	-0.0071	-0.00046	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D	A22D_WT_WT_WT	A22	mut	kcal/mol	ref2015	0.17126	-10.35605	6.37196	6.5952	0.0	-0.0	-0.36097	-1.44328	0.0	0.0	-0.33236	-0.30324	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D	A22D_WT_WT_WT	A22	wt	kcal/mol	ref2015	0.16324	-10.31569	6.34592	6.54988	0.0	0.0	-0.36106	-1.42777	0.0	0.0	-0.32526	-0.30278	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.D:C.A.22.D:D.A.22.D	WT_A22D_A22D_A22D	A22_A22_A22	ddg	kcal/mol	ref2015	0.07415	0.00897	0.10757	-0.0126	0.0	0.0	-0.01507	-0.00669	0.0	0.0	0.00433	-0.01235	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.D:C.A.22.D:D.A.22.D	WT_A22D_A22D_A22D	A22_A22_A22	mut	kcal/mol	ref2015	0.16477	-10.84376	6.5673	7.02939	0.0	0.0	-0.15336	-1.7161	0.0	0.0	-0.34567	-0.37303	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.D:C.A.22.D:D.A.22.D	WT_A22D_A22D_A22D	A22_A22_A22	wt	kcal/mol	ref2015	0.09062	-10.85272	6.45974	7.042	-0.0	-0.0	-0.13829	-1.70941	0.0	0.0	-0.35	-0.36068	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:C.A.22.D	A22D_WT_A22D_WT	A22_A22	ddg	kcal/mol	ref2015	0.09494	0.06588	0.09572	-0.12081	0.0	-0.0	-0.00657	0.04949	0.0	0.0	-0.02055	0.03177	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:C.A.22.D	A22D_WT_A22D_WT	A22_A22	mut	kcal/mol	ref2015	0.61871	-10.89286	6.90001	7.04042	0.0	-0.0	-0.17685	-1.57099	0.0	0.0	-0.31524	-0.36578	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:C.A.22.D	A22D_WT_A22D_WT	A22_A22	wt	kcal/mol	ref2015	0.52378	-10.95874	6.80429	7.16123	0.0	-0.0	-0.17028	-1.62048	0.0	0.0	-0.29469	-0.39755	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:D.A.22.D	A22D_WT_WT_A22D	A22_A22	ddg	kcal/mol	ref2015	0.0114	-0.01166	-0.01881	0.05453	0.0	0.0	0.01135	-0.00762	0.0	0.0	-0.01681	0.00043	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:D.A.22.D	A22D_WT_WT_A22D	A22_A22	mut	kcal/mol	ref2015	0.6132	-10.39107	6.70323	6.48621	-0.0	-0.0	-0.28963	-1.28594	0.0	0.0	-0.3039	-0.30569	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:D.A.22.D	A22D_WT_WT_A22D	A22_A22	wt	kcal/mol	ref2015	0.60181	-10.37941	6.72204	6.43168	-0.0	-0.0	-0.30098	-1.27831	0.0	0.0	-0.2871	-0.30611	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:B.A.22.D	A22D_A22D_WT_WT	A22_A22	ddg	kcal/mol	ref2015	0.065	0.09503	-0.00308	-0.08617	-0.0	-0.0	0.01314	0.02433	0.0	0.0	0.00444	0.01732	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:B.A.22.D	A22D_A22D_WT_WT	A22_A22	mut	kcal/mol	ref2015	0.44394	-10.56987	6.6882	6.76143	-0.0	-0.0	-0.30801	-1.42446	0.0	0.0	-0.38762	-0.31573	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:B.A.22.D	A22D_A22D_WT_WT	A22_A22	wt	kcal/mol	ref2015	0.37894	-10.6649	6.69128	6.84761	0.0	-0.0	-0.32115	-1.44879	0.0	0.0	-0.39206	-0.33305	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:B.A.22.E:C.A.22.E:D.A.22.E	A22E_A22E_A22E_A22E	A22_A22_A22_A22	ddg	kcal/mol	ref2015	0.15268	0.04203	0.02618	-0.02471	-0.0	0.0	0.00018	0.05507	0.0	0.0	0.00248	0.05145	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:B.A.22.E:C.A.22.E:D.A.22.E	A22E_A22E_A22E_A22E	A22_A22_A22_A22	mut	kcal/mol	ref2015	0.26349	-10.83611	6.54451	7.07196	-0.0	0.0	-0.15005	-1.63852	0.0	0.0	-0.33894	-0.38935	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:B.A.22.E:C.A.22.E:D.A.22.E	A22E_A22E_A22E_A22E	A22_A22_A22_A22	wt	kcal/mol	ref2015	0.11081	-10.87813	6.51833	7.09667	0.0	-0.0	-0.15024	-1.69359	0.0	0.0	-0.34142	-0.4408	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E	A22E_WT_WT_WT	A22	ddg	kcal/mol	ref2015	-0.02352	0.02904	-0.01266	-0.0306	-0.0	-0.0	0.0204	-0.01835	0.0	0.0	-0.00574	-0.00561	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E	A22E_WT_WT_WT	A22	mut	kcal/mol	ref2015	0.23137	-10.31252	6.42242	6.46356	-0.0	-0.0	-0.32695	-1.33015	0.0	0.0	-0.35909	-0.3259	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E	A22E_WT_WT_WT	A22	wt	kcal/mol	ref2015	0.25489	-10.34156	6.43508	6.49416	0.0	-0.0	-0.34735	-1.3118	0.0	0.0	-0.35335	-0.32029	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.E:C.A.22.E:D.A.22.E	WT_A22E_A22E_A22E	A22_A22_A22	ddg	kcal/mol	ref2015	-0.02501	0.0626	-0.01935	-0.07065	0.0	0.0	0.01034	-0.01398	0.0	0.0	0.00966	-0.00363	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.E:C.A.22.E:D.A.22.E	WT_A22E_A22E_A22E	A22_A22_A22	mut	kcal/mol	ref2015	0.41396	-10.87225	6.61472	7.10331	-0.0	-0.0	-0.17198	-1.61322	0.0	0.0	-0.27837	-0.36825	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.E:C.A.22.E:D.A.22.E	WT_A22E_A22E_A22E	A22_A22_A22	wt	kcal/mol	ref2015	0.43897	-10.93485	6.63407	7.17396	-0.0	-0.0	-0.18232	-1.59924	0.0	0.0	-0.28803	-0.36462	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:C.A.22.E	A22E_WT_A22E_WT	A22_A22	ddg	kcal/mol	ref2015	0.03735	-4e-05	0.03363	-0.04077	0.0	0.0	0.0027	0.04041	0.0	0.0	0.00774	-0.00632	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:C.A.22.E	A22E_WT_A22E_WT	A22_A22	mut	kcal/mol	ref2015	0.53436	-10.95797	6.97596	6.99218	0.0	0.0	-0.16364	-1.5813	0.0	0.0	-0.31586	-0.41502	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:C.A.22.E	A22E_WT_A22E_WT	A22_A22	wt	kcal/mol	ref2015	0.49701	-10.95793	6.94233	7.03295	-0.0	-0.0	-0.16634	-1.62171	0.0	0.0	-0.3236	-0.40869	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:D.A.22.E	A22E_WT_WT_A22E	A22_A22	ddg	kcal/mol	ref2015	-0.00636	-0.00665	-0.04329	0.00503	-0.0	0.0	0.01218	0.00988	0.0	0.0	0.01118	0.00532	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:D.A.22.E	A22E_WT_WT_A22E	A22_A22	mut	kcal/mol	ref2015	0.55116	-10.42952	6.73508	6.55908	-0.0	-0.0	-0.3205	-1.30374	0.0	0.0	-0.30431	-0.38494	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:D.A.22.E	A22E_WT_WT_A22E	A22_A22	wt	kcal/mol	ref2015	0.55752	-10.42287	6.77838	6.55406	0.0	-0.0	-0.33269	-1.31362	0.0	0.0	-0.31549	-0.39025	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:B.A.22.E	A22E_A22E_WT_WT	A22_A22	ddg	kcal/mol	ref2015	0.03284	-0.00917	-0.00222	0.01545	0.0	0.0	-0.0057	0.02489	0.0	0.0	0.00898	0.0006	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:B.A.22.E	A22E_A22E_WT_WT	A22_A22	mut	kcal/mol	ref2015	0.14969	-10.16909	6.35908	6.38493	0.0	0.0	-0.35412	-1.44946	0.0	0.0	-0.34383	-0.27782	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.E:B.A.22.E	A22E_A22E_WT_WT	A22_A22	wt	kcal/mol	ref2015	0.11685	-10.15992	6.3613	6.36948	0.0	-0.0	-0.34842	-1.47436	0.0	0.0	-0.35281	-0.27843	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:B.A.22.F:C.A.22.F:D.A.22.F	A22F_A22F_A22F_A22F	A22_A22_A22_A22	ddg	kcal/mol	ref2015	-0.03154	-0.00455	0.04054	0.01144	0.0	0.0	-0.00386	-0.04654	0.0	0.0	-0.01614	-0.01242	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:B.A.22.F:C.A.22.F:D.A.22.F	A22F_A22F_A22F_A22F	A22_A22_A22_A22	mut	kcal/mol	ref2015	0.28153	-10.73033	6.63712	6.97263	0.0	-0.0	-0.18193	-1.65682	0.0	0.0	-0.36568	-0.39347	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:B.A.22.F:C.A.22.F:D.A.22.F	A22F_A22F_A22F_A22F	A22_A22_A22_A22	wt	kcal/mol	ref2015	0.31307	-10.72577	6.59658	6.9612	-0.0	-0.0	-0.17807	-1.61028	0.0	0.0	-0.34954	-0.38105	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F	A22F_WT_WT_WT	A22	ddg	kcal/mol	ref2015	-0.0487	-0.01408	-0.03641	0.00669	0.0	0.0	-0.01774	0.0028	0.0	0.0	0.00083	0.0092	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F	A22F_WT_WT_WT	A22	mut	kcal/mol	ref2015	0.39371	-10.56544	6.61883	6.70385	0.0	-0.0	-0.3243	-1.35963	0.0	0.0	-0.38046	-0.29914	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F	A22F_WT_WT_WT	A22	wt	kcal/mol	ref2015	0.44241	-10.55136	6.65524	6.69716	-0.0	-0.0	-0.30656	-1.36243	0.0	0.0	-0.38129	-0.30834	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.F:C.A.22.F:D.A.22.F	WT_A22F_A22F_A22F	A22_A22_A22	ddg	kcal/mol	ref2015	0.09742	-0.04329	0.11348	0.01154	-0.0	-0.0	-0.00733	0.01856	0.0	0.0	-0.01382	0.01828	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.F:C.A.22.F:D.A.22.F	WT_A22F_A22F_A22F	A22_A22_A22	mut	kcal/mol	ref2015	0.37858	-10.76447	6.74458	7.07868	-0.0	-0.0	-0.12048	-1.78141	0.0	0.0	-0.39303	-0.38529	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.F:C.A.22.F:D.A.22.F	WT_A22F_A22F_A22F	A22_A22_A22	wt	kcal/mol	ref2015	0.28116	-10.72118	6.63109	7.06714	0.0	0.0	-0.11315	-1.79997	0.0	0.0	-0.3792	-0.40357	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:C.A.22.F	A22F_WT_A22F_WT	A22_A22	ddg	kcal/mol	ref2015	-0.04851	0.0158	-0.08737	-0.01585	0.0	0.0	-0.00478	0.02341	0.0	0.0	0.00437	0.01591	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:C.A.22.F	A22F_WT_A22F_WT	A22_A22	mut	kcal/mol	ref2015	1.03884	-11.1158	7.33396	7.17543	0.0	-0.0	-0.18998	-1.47698	0.0	0.0	-0.33688	-0.35091	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:C.A.22.F	A22F_WT_A22F_WT	A22_A22	wt	kcal/mol	ref2015	1.08735	-11.13161	7.42134	7.19128	0.0	-0.0	-0.1852	-1.50039	0.0	0.0	-0.34124	-0.36683	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:D.A.22.F	A22F_WT_WT_A22F	A22_A22	ddg	kcal/mol	ref2015	-0.06133	-0.00397	-0.06623	0.02917	0.0	0.0	-0.01076	-0.03824	0.0	0.0	0.00741	0.02129	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:D.A.22.F	A22F_WT_WT_A22F	A22_A22	mut	kcal/mol	ref2015	0.09525	-10.28357	6.38358	6.4533	0.0	-0.0	-0.35677	-1.44269	0.0	0.0	-0.33658	-0.32202	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:D.A.22.F	A22F_WT_WT_A22F	A22_A22	wt	kcal/mol	ref2015	0.15657	-10.27961	6.44981	6.42413	0.0	-0.0	-0.34601	-1.40445	0.0	0.0	-0.34399	-0.3433	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:B.A.22.F	A22F_A22F_WT_WT	A22_A22	ddg	kcal/mol	ref2015	0.13334	0.02359	0.0429	-0.03275	-0.0	-0.0	-0.00984	0.07654	0.0	0.0	0.01943	0.01347	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:B.A.22.F	A22F_A22F_WT_WT	A22_A22	mut	kcal/mol	ref2015	0.15374	-10.25747	6.40117	6.40472	0.0	-0.0	-0.34514	-1.3909	0.0	0.0	-0.34795	-0.31069	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.F:B.A.22.F	A22F_A22F_WT_WT	A22_A22	wt	kcal/mol	ref2015	0.0204	-10.28107	6.35827	6.43746	0.0	-0.0	-0.33529	-1.46744	0.0	0.0	-0.36737	-0.32416	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.G:B.A.22.G:C.A.22.G:D.A.22.G	A22G_A22G_A22G_A22G	A22_A22_A22_A22	ddg	kcal/mol	ref2015	-0.0495	-0.00853	-0.04783	0.03074	0.0	0.0	-0.00301	-0.01732	0.0	0.0	-0.00613	0.00259	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.G:B.A.22.G:C.A.22.G:D.A.22.G	A22G_A22G_A22G_A22G	A22_A22_A22_A22	mut	kcal/mol	ref2015	0.02618	-10.74125	6.28354	7.03541	0.0	-0.0	-0.16172	-1.66547	0.0	0.0	-0.34092	-0.3834	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.G:B.A.22.G:C.A.22.G:D.A.22.G	A22G_A22G_A22G_A22G	A22_A22_A22_A22	wt	kcal/mol	ref2015	0.07568	-10.73272	6.33138	7.00467	0.0	-0.0	-0.15871	-1.64815	0.0	0.0	-0.33479	-0.38599	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.G	A22G_WT_WT_WT	A22	ddg	kcal/mol	ref2015	-0.01823	-0.01057	-0.00194	-0.00935	-0.0	0.0	0.00609	0.02226	0.0	0.0	-0.00644	-0.01827	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.G	A22G_WT_WT_WT	A22	mut	kcal/mol	ref2015	0.67194	-10.66492	6.81755	6.89959	0.0	-0.0	-0.26892	-1.38323	0.0	0.0	-0.36564	-0.3625	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.G	A22G_WT_WT_WT	A22	wt	kcal/mol	ref2015	0.69017	-10.65434	6.8195	6.90895	0.0	-0.0	-0.27501	-1.40549	0.0	0.0	-0.3592	-0.34423	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.G:C.A.22.G:D.A.22.G	WT_A22G_A22G_A22G	A22_A22_A22	ddg	kcal/mol	ref2015	-0.14547	0.05192	-0.1306	-0.02799	-0.0	0.0	0.00741	-0.02419	0.0	0.0	-0.00753	-0.01449	0.0	0.0	0.0	0.0	0.0	0.0
